name,lat,lon,region,region_raw,category,type_raw,point_kind,confidence,source
עין שוקק,32.478,35.414,north,צפון / עמק המעיינות,water,מעיין,נקודת אתר / מקור מים,גבוהה,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין סטף,31.765,35.118,jerusalem,ירושלים / הרי יהודה,water,מעיין / נקבה,נקודת אתר / מקור מים,גבוהה,https://www.kkl.org.il/travel/water_trips_2025/
עין לבן,31.748,35.179,jerusalem,ירושלים,water,מעיין,נקודת אתר / מקור מים,גבוהה,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין חניה,31.73,35.16,jerusalem,ירושלים,water,מעיין / אתר ארכיאולוגי,נקודת אתר / מקור מים,גבוהה,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין ספיר,31.742,35.172,jerusalem,ירושלים / הרי יהודה,water,מעיין / נקבה,נקודת אתר / מקור מים,גבוהה,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין קובי,31.762,35.168,jerusalem,ירושלים / הרי יהודה,water,מעיין / נקבה,נקודת אתר / מקור מים,גבוהה,https://www.kkl.org.il/travel/water_trips_2025/
עין פרת,31.82,35.3,deadsea,מדבר יהודה,water,מעיין / מסלול מים,נקודת אתר / מקור מים,גבוהה,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עינות צוקים,31.71,35.45,deadsea,ים המלח,water,מעיינות / שמורת טבע,נקודת אתר / מקור מים,גבוהה,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין בוקק,31.2,35.36,deadsea,ים המלח,water,מעיין / מסלול מים,נקודת אתר / מקור מים,גבוהה,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין עקב,30.87,34.85,south,נגב / שדה בוקר,water,מעיין / מסלול,נקודת אתר / מקור מים,גבוהה,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין זיק,30.95,34.82,south,נגב / שדה בוקר,water,מעיין / נווה מדבר,נקודת אתר / מקור מים,גבוהה,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין שביב,30.8,34.8,south,נגב / שדה בוקר,water,מעיין / נווה מדבר,נקודת אתר / מקור מים,גבוהה,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין ירקעם,30.92,34.98,south,נגב,water,גב / אתר מים,נקודת אתר / מקור מים,גבוהה,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין נטפים,29.634,34.953,eilat,אילת,water,מעיין / מסלול,נקודת אתר / מקור מים,גבוהה,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
מצפור טופז,33.0769,35.196,north,צפון / גליל מערבי,viewpoints,תצפית,נקודת תצפית / פסגה,גבוהה,https://www.kkl.org.il/scenic_lookouts/
קרן נפתלי,33.0898,35.5649,north,צפון / גליל עליון,viewpoints,תצפית / מסלול,נקודת תצפית / פסגה,גבוהה,https://www.kkl.org.il/scenic_lookouts/
מצפה אופיר,32.8148,35.6627,north,צפון / גולן,viewpoints,תצפית,נקודת תצפית / פסגה,גבוהה,https://www.kkl.org.il/scenic_lookouts/
מצפה גדות,33.0135,35.6414,north,צפון / גולן,viewpoints,תצפית / מורשת,נקודת תצפית / פסגה,גבוהה,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
מצפור ויניה,32.5231,35.3876,north,צפון / גלבוע,viewpoints,תצפית,נקודת תצפית / פסגה,גבוהה,https://www.kkl.org.il/scenic_lookouts/
מצפור הר אדיר,33.0336,35.3698,north,צפון / גליל עליון,viewpoints,תצפית / מורשת,נקודת תצפית / פסגה,גבוהה,https://www.kkl.org.il/scenic_lookouts/
מצפור מונפור,33.0466554,35.2223152,north,צפון / גליל מערבי,viewpoints,תצפית,נקודת תצפית / אתר,גבוהה,https://www.kkl.org.il/scenic_lookouts/
מצפור הצוק פארק הכרמל,32.7437,35.0256,north,צפון / כרמל,viewpoints,תצפית,נקודת תצפית / אתר,גבוהה,https://www.kkl.org.il/scenic_lookouts/
מצפור המוחרקה,32.65,35.071389,north,צפון / כרמל,viewpoints,תצפית,נקודת תצפית / אתר,גבוהה,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
תל חדיד,31.9642,34.9508,center,מרכז / בן שמן,viewpoints,תצפית / תל,נקודת תצפית / פסגה,גבוהה,https://www.kkl.org.il/scenic_lookouts/
מצפה משואה,31.6673,34.9226,center,שפלה,viewpoints,תצפית,נקודת תצפית / פסגה,גבוהה,https://www.kkl.org.il/scenic_lookouts/
מצפה הראל,31.8077,34.9642,center,שפלה,viewpoints,תצפית / מורשת,נקודת תצפית / פסגה,גבוהה,https://www.kkl.org.il/scenic_lookouts/
מצפור שער הגיא,31.815,35.0188,jerusalem,ירושלים / הרי יהודה,viewpoints,תצפית,נקודת תצפית / פסגה,גבוהה,https://www.kkl.org.il/scenic_lookouts/
מצפור מואב,31.2606,35.2422,south,נגב / ערד,viewpoints,תצפית,נקודת תצפית / פסגה,גבוהה,https://www.kkl.org.il/scenic_lookouts/
מצפה אבנון,30.9715,34.9825,south,נגב,viewpoints,תצפית,נקודת תצפית / פסגה,גבוהה,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
מצפה מעלה עלי,30.9459,35.1593,south,נגב,viewpoints,תצפית,נקודת תצפית / פסגה,גבוהה,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
מצפור ערוד,30.4969,34.6469,south,נגב / הר הנגב,viewpoints,תצפית,נקודת תצפית / פסגה,גבוהה,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
