name,search_query,region,region_raw,category,type_raw,source
ארץ החרדונים באילת,ארץ החרדונים באילת,south,דרום / נגב וערבה,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
באר צקלג שביער להב,באר צקלג שביער להב,south,דרום / נגב וערבה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
בית עלמי בקיבוץ זיקים,בית עלמי בקיבוץ זיקים,south,דרום / נגב וערבה,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
גבעות גורל,גבעות גורל,south,דרום / נגב וערבה,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
דרך הבשור - הקטע התיכון,דרך הבשור - הקטע התיכון,south,דרום / נגב וערבה,nature,דרך נוף / טיול רכב,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
דרך הבשור הדרומית,דרך הבשור הדרומית,south,דרום / נגב וערבה,nature,דרך נוף / טיול רכב,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
חורבת מגדלית ביער דבירה,חורבת מגדלית ביער דבירה,south,דרום / נגב וערבה,archaeology,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
חורבת מרשם ביער מורן,חורבת מרשם ביער מורן,south,דרום / נגב וערבה,archaeology,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
חורשת בארותיים,חורשת בארותיים,south,דרום / נגב וערבה,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
חניון הרועה,חניון הרועה,south,דרום / נגב וערבה,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
